5001,1919,2022-04-01,1001,1 day,60.00,9.00,69.00
5002,1922,2022-04-01,1002,1 day,60.00,9.00,69.00
5003,1923,2022-04-01,1003,1 day,60.00,9.00,69.00
5004,1919,2022-04-02,1004,1 week,300.00,45.00,345.00
5005,1922,2022-04-02,1005,1 week,300.00,45.00,345.00
5006,1924,2022-04-03,1001,1 day,60.00,9.00,69.00
5007,1925,2022-04-03,1002,1 day,60.00,9.00,69.00
5008,1926,2022-04-04,1003,1 day,60.00,9.00,69.00
5009,1927,2022-04-04,1004,1 day,60.00,9.00,69.00
5010,1928,2022-04-05,1001,1 week,300.00,45.00,345.00
5011,1929,2022-04-05,1002,1 week,300.00,45.00,345.00
5012,1930,2022-04-06,1003,1 day,60.00,9.00,69.00
5013,1931,2022-04-06,1004,1 day,60.00,9.00,69.00
5014,1932,2022-04-07,1001,1 day,60.00,9.00,69.00
5015,1933,2022-04-07,1002,1 day,60.00,9.00,69.00
5016,1934,2022-04-08,1003,1 week,300.00,45.00,345.00
5017,1935,2022-04-08,1004,1 week,300.00,45.00,345.00
5018,1936,2022-04-09,1001,1 day,60.00,9.00,69.00
5019,1937,2022-04-09,1002,1 day,60.00,9.00,69.00
5020,1919,2022-04-10,1003,1 day,60.00,9.00,69.00
